,Q,m,${\beta}$,${\gamma_f}$,${R_c/H_{m0}}$,${s_p}$,${s_m}$,"${s_{-1,0}}$",${G_c/H_{m0}}$,${A_c/H_{m0}}$,${B_t/H_{m0}}$,${h/H_{m0}}$,${h_t/H_{m0}}$,${cot\alpha}$
7681,0.0001057315978093,1000.0,0.0,0.4,1.189387008234218,0.0240250323264665,0.0341385433992005,0.0307842331699733,1.189387008234218,1.189387008234218,1.189387008234218,4.43732845379689,4.1628545288197625,2.0
7396,4.980414560088096e-06,1000.0,0.0,0.4,1.6830294530154275,0.0188705702732876,0.0281893704082445,0.0228333900306781,1.262272089761571,1.0518934081346425,0.0,3.856942496493689,3.856942496493689,2.5
7799,0.0004556550062861,1000.0,0.0,0.47,0.998463901689708,0.0435361143332917,0.0607108931207626,0.0552100422435498,0.998463901689708,0.998463901689708,0.998463901689708,3.725038402457757,3.4946236559139785,2.0
135,0.0078505658159331,100.0,0.0,0.4,0.5675675675675677,0.0198731773531016,0.0286173753884664,0.024046544597253,1.0810810810810811,0.5675675675675677,0.0,1.7567567567567568,1.5945945945945947,2.5
7955,2.0937584485858943e-05,1000.0,25.0,0.4,1.1959521619135234,0.0271957123984781,0.0372021646297707,0.0330678211609589,1.1959521619135234,1.1959521619135234,1.1959521619135234,4.461821527138914,4.185832566697332,2.0
10158,0.0018612105949742,30.404494382022477,0.0,0.4,0.9018759018759018,0.0163938638765391,0.0357405856756504,0.0202838659079851,1.443001443001443,0.9018759018759018,0.0,2.1645021645021645,2.1645021645021645,4.0
6450,0.0012524108985243,1000.0,0.0,0.46,0.9421560035056968,0.0235681436264321,0.0359638454645556,0.0287506350128146,1.0371659791352954,0.9421560035056968,0.0,7.959027169149867,7.959027169149867,1.5
4314,0.0002599300110354,1000.0,20.0,1.0,1.271186440677966,0.0507777212240299,0.0731199185626031,0.0614410426810762,0.0,1.271186440677966,0.0,6.101694915254237,6.101694915254237,4.0
7636,2.478134252404044e-06,1000.0,10.0,0.4,1.347190146266359,0.0384037773157613,0.0438273177212004,0.0398545303698009,2.5019245573518094,1.347190146266359,2.5019245573518094,10.488837567359507,9.911470361816782,2.0
7555,1.4649193847591689e-05,1000.0,0.0,0.4,1.27942681678608,0.0386554637230778,0.0490741362236934,0.0448918574611434,1.663254861821904,1.27942681678608,1.663254861821904,6.589048106448312,6.205220061412487,2.0
10034,1.0687530784553696e-05,33.04423870719709,0.0,0.4,1.372549019607843,0.0192249430599061,0.0393818452736148,0.0150809353842622,1.568627450980392,1.372549019607843,0.0,1.96078431372549,1.96078431372549,4.0
4348,0.0023244865666866,1000.0,10.0,1.0,1.3761467889908257,0.0176291432235986,0.0253859662419821,0.0213312633005544,0.0,1.3761467889908257,0.0,6.605504587155963,6.605504587155963,4.0
4607,2.0473448478009685e-05,100.0,0.0,1.0,3.2258064516129035,0.0269710577613236,0.038838323176306,0.0200551721075801,0.0,3.2258064516129035,0.0,2.846774193548387,2.846774193548387,2.5
1811,0.0001076649026185,1000.0,0.0,0.43,1.7567567567567566,0.0108190506570439,0.0155794329461432,0.0130910512950231,1.4486486486486487,1.5405405405405403,0.3702702702702702,1.4864864864864864,0.7135135135135136,1.5
3659,0.0001070638664617,42.5,0.0,0.47,1.284633421731863,0.025666354732178,0.0369595508143364,0.0310562892259355,1.8900353790997524,1.919567181898186,1.8457376749021024,1.7372403994035088,1.1443573584393032,1.5
10150,4.261103887956132e-06,30.404494382022477,0.0,0.4,1.230992034757422,0.0194411892829764,0.0434976193609739,0.0290811501253563,1.4482259232440262,1.230992034757422,0.0,1.846488052136133,1.846488052136133,4.0
10282,0.0094236584438839,48.36183718071271,0.0,1.0,1.2091503267973858,0.0172310033905598,0.0521568480801988,0.0257455050730266,0.0,0.9803921568627452,0.0,1.274509803921568,1.274509803921568,2.72
5868,3.88427539308228e-06,65.0,18.0,0.4,1.8713923564244488,0.0160483563342962,0.0231096331213865,0.0194185111644984,2.096069868995633,1.8713923564244488,0.0,1.8396924162968764,1.8396924162968764,4.0
1410,0.0011964251899296,1000.0,0.0,0.7,1.5873015873015872,0.0379376177180096,0.0546301695139339,0.0459045174387917,6.349206349206349,1.1904761904761905,0.0,7.261904761904761,7.261904761904761,2.0
6605,0.0016411387027712,1000.0,0.0,0.47,0.979872881355932,0.023423905430397,0.0329825747962024,0.0266190810062063,1.180749691837742,0.979872881355932,0.0,9.560381355932202,9.560381355932202,1.5
7468,0.0024251489756526,1000.0,0.0,1.0,1.8315789473684203,0.013415664968166,0.019318557554159,0.0162329546114808,0.0,1.8315789473684203,0.0,10.526315789473683,10.526315789473683,1.19175359259421
10072,0.0005283355953791,80.29073977940354,0.0,0.4,0.6556245686680475,0.031850202965279,0.0505476134911973,0.0353630094727082,1.3802622498274673,0.6556245686680475,0.0,2.277432712215321,2.277432712215321,4.0
4236,5.458316442988498e-05,1000.0,40.0,1.0,2.2641509433962264,0.0091094348083406,0.0131175861240105,0.0110224161180922,0.0,2.2641509433962264,0.0,6.79245283018868,6.79245283018868,4.0
8102,0.0002368299179629,1000.0,45.0,0.4,0.9059233449477352,0.0255673723333043,0.0358127555683827,0.0319529578272821,0.9059233449477352,0.9059233449477352,0.9059233449477352,3.3797909407665507,3.1707317073170733,2.0
10084,2.1004917447621456e-06,30.786516853932586,0.0,0.4,1.2943786982248522,0.0190329383856511,0.050925156203467,0.0295102457839742,1.4792899408284026,1.2943786982248522,0.0,1.8491124260355032,1.8491124260355032,4.0
9392,0.0027729613647148,30.0,0.0,0.45,1.4838709677419355,0.0120525451115146,0.029970899900083,0.0169516441549476,1.032258064516129,1.4838709677419355,1.1870967741935483,2.580645161290323,1.9354838709677415,1.3333333333333333
5187,0.0050510876586465,50.0,0.0,0.38,0.627906976744186,0.0428973513480308,0.0617721859411643,0.0519057951311173,1.1511627906976745,0.627906976744186,0.0,3.1395348837209305,3.1395348837209305,2.0
1491,0.0029507504746937,1000.0,0.0,0.7690265486725664,0.8849557522123895,0.037550744959421,0.0540730727415663,0.0454364014008995,3.539823008849558,0.6637168141592922,0.0,4.048672566371682,4.048672566371682,4.0
6723,0.0007423703702884,1000.0,0.0,0.38,0.7692307692307693,0.0533639270179132,0.0666863196268603,0.0574273862842861,0.9706824760522218,0.7692307692307693,0.0,6.770157553290083,6.770157553290083,1.5
7193,0.0009619501162771,1000.0,0.0,0.4,0.9305210918114144,0.0403307160867955,0.0519323138585567,0.0488001664650226,1.1166253101736971,0.9305210918114144,0.0,3.411910669975186,3.411910669975186,1.5
1476,0.0004666481504354,1000.0,0.0,0.7,1.1160714285714284,0.037218437481904,0.0535945499739418,0.0450343093531039,1.7857142857142856,0.6696428571428571,0.0,4.084821428571428,4.084821428571428,4.0
7277,2.3117645233438425e-05,1000.0,0.0,0.4,1.9757807520713828,0.0392548967370857,0.0520120778670563,0.0474984250518737,1.1472275334608029,0.82855321861058,0.0,3.6328871892925423,3.6328871892925423,1.5
6702,3.1191578236226065e-05,1000.0,0.0,0.5,1.7674843821423132,0.0352507197211909,0.0474010677230439,0.0391646053293874,1.3586807363642586,1.7674843821423132,0.0,10.323023007770836,10.323023007770836,1.5
7609,8.70049014698363e-05,1000.0,0.0,0.4,0.8072886633606275,0.0428840232782507,0.0590859769034553,0.054334757863657,1.4992503748125938,0.8072886633606275,1.4992503748125938,6.285318879022029,5.939338023296044,2.0
4363,0.0003709910505877,1000.0,50.0,1.0,1.2605042016806722,0.0394482936021651,0.0568055427871177,0.0477324352586197,0.0,1.2605042016806722,0.0,6.050420168067227,6.050420168067227,4.0
8123,7.529027455548957e-06,1000.0,60.0,0.4,1.3050570962479608,0.0251779248343802,0.0323494144861555,0.0289477046433055,1.0603588907014685,1.3050570962479608,1.0603588907014685,3.7112561174551386,3.466557911908646,2.0
2408,0.0009514420816456,1000.0,0.0,0.55,1.9444444444444444,0.0103345229123902,0.0141936354326205,0.0125047727239921,1.1333333333333333,1.9444444444444444,0.0,4.166666666666667,4.166666666666667,2.0
2194,0.0007825413445708,1000.0,0.0,0.4,1.725175415836282,0.0261297899466311,0.0309198887389891,0.0316170458354236,1.0055308138017187,1.725175415836282,0.0,3.696804462506319,3.696804462506319,2.0
10493,2.253973613866262e-05,22.791445766484284,0.0,0.47,2.0384615384615383,0.0276758488117041,0.0398532222888539,0.033487777062162,1.5384615384615383,2.653846153846154,2.6923076923076925,2.923076923076924,1.942307692307693,1.4
10525,0.0004004264528065,40.0,0.0,1.0,2.48465361005554,0.0262111753380495,0.0402737545647445,0.0308398194965944,0.0,2.48465361005554,0.0,5.846243788365976,5.846243788365976,1.772
3946,0.0003850490082764,1000.0,0.0,1.0,2.0811936155447603,0.0384159383230209,0.0468209936511564,0.0464832853708554,0.0,2.0811936155447603,0.0,3.469812630117973,3.469812630117973,2.0
5691,8.31378240278804e-05,1000.0,0.0,0.4,2.5888324873096447,0.0093769393863487,0.0135027927163422,0.011346096657482,1.015228426395939,2.5888324873096447,0.0,7.005076142131979,7.005076142131979,1.3333333333333333
10471,6.025029073157188e-06,21.019934059192817,0.0,0.47,1.9047619047619049,0.0229144567046775,0.0329968176547356,0.0277264926126598,1.2698412698412698,2.333333333333333,2.2222222222222223,2.1904761904761907,1.3809523809523814,1.4
3800,1.2140873981150928e-05,200.0,0.0,0.38,1.7760727479397556,0.0313038411710909,0.0450775312863709,0.03787764781702,1.0656436487638532,1.7760727479397556,1.4919011082693947,1.918158567774936,1.349815288434214,1.5
8132,2.779719267772733e-06,1000.0,45.0,0.4,1.281024819855885,0.0274540396850473,0.032289687602316,0.0288565776884039,1.0408326661329064,1.281024819855885,1.0408326661329064,3.642914331465173,3.4027221777421937,2.0
1482,0.0014236803149885,1000.0,0.0,0.8102040816326532,0.8163265306122448,0.0381030641924109,0.0548684124370717,0.0461047076728172,1.6326530612244896,0.2040816326530612,0.0,3.73469387755102,3.73469387755102,4.0
10293,0.0296675230331848,48.02664199110404,0.0,1.0,0.8708938120702827,0.0216251473449481,0.0602124769287686,0.0280453278307273,0.0,0.8708938120702827,0.0,1.4514896867838043,1.4514896867838043,2.72
7820,3.6663929851274494e-05,1000.0,10.0,0.47,1.3640238704177323,0.0224585370114195,0.0352937893515366,0.0314332939533555,1.1082693947144076,1.3640238704177323,1.1082693947144076,3.8789428815004254,3.623188405797101,2.0
5851,6.082401803410932e-06,65.0,32.0,0.4,1.7930290373310662,0.0159782761756311,0.0230087176929088,0.0193337141725136,2.1052631578947367,1.7930290373310662,0.0,1.9343237428015283,1.9343237428015283,4.0
8267,5.3623967693141626e-05,1000.0,60.0,0.47,1.0774410774410774,0.0326415123557208,0.0345576771180721,0.0303592320649253,0.8754208754208755,1.0774410774410774,0.8754208754208755,3.063973063973064,2.861952861952862,2.0
5875,2.5141841944321656e-06,65.0,11.0,0.4,1.9353373375637728,0.0158015249694237,0.0227541959559702,0.0191198452130027,2.127254113799232,1.9353373375637728,0.0,1.8309953715622287,1.8309953715622287,4.0
4734,0.00093731736463,1000.0,0.0,1.0,1.4035087719298245,0.0215665196934836,0.038340479455082,0.0260954888291151,0.0,1.4035087719298245,0.0,4.385964912280701,4.385964912280701,4.0
1679,0.0006398686370815,52.0,0.0,0.4,0.8588957055214724,0.0503469865066605,0.0724996605695911,0.0609198536730592,0.920245398773006,0.6134969325153374,0.0,3.067484662576687,3.067484662576687,2.0
4592,0.0010673016529426,100.0,0.0,1.0,2.857142857142857,0.0001910987092452,0.0257593484187245,0.0017098890533281,0.0,2.857142857142857,0.0,1.6785714285714286,1.6785714285714286,2.5
5728,1.7502757038118417e-05,1000.0,0.0,0.44,1.6454545454545455,0.0300968251008886,0.0349403183290369,0.0364171583720752,1.3636363636363635,1.6454545454545455,0.0,3.6363636363636367,3.6363636363636367,1.5
10481,1.6382552971035213e-05,22.791445766484284,0.0,0.47,1.6825396825396826,0.0335303552911031,0.0482837116191884,0.0405717299022347,1.2698412698412698,2.111111111111111,2.2222222222222223,2.412698412698413,1.6031746031746037,1.4
7779,0.0001076889452138,1000.0,0.0,0.47,1.1189437171310284,0.0403533037012304,0.0499959774542973,0.0457951000120207,1.4546268322703368,1.1189437171310284,1.4546268322703368,5.762560143224795,5.426877028085487,2.0
8214,1.492405710835608e-05,1000.0,45.0,0.47,1.0060362173038229,0.0428439825879427,0.0497705036429049,0.0452613879254327,1.3078470824949695,1.0060362173038229,1.3078470824949695,5.181086519114688,4.879275653923541,2.0
5229,0.0002067293721137,50.0,0.0,0.4,1.0988372093023258,0.0428973513480308,0.0617721859411643,0.0519057951311173,1.936046511627907,1.0988372093023258,0.0,3.1395348837209305,3.1395348837209305,2.0
1732,0.0001597633794496,52.0,0.0,0.4,1.4723926380368098,0.0223764384474046,0.0322220713642627,0.0270754905213596,0.920245398773006,1.4723926380368098,0.0,2.4539877300613497,2.4539877300613497,2.0
6425,0.00254662223741,1000.0,0.0,0.44,0.8113207547169811,0.0364377392333626,0.0513358840703835,0.0418947804593945,0.8416547374325691,0.8113207547169811,0.0,6.858490566037736,6.858490566037736,1.5
4695,0.0003954763871028,100.0,0.0,1.0,1.8236370469401704,0.0285566609372786,0.0411215917496812,0.0214792347318944,0.0,1.8236370469401704,0.0,1.842119854848348,1.842119854848348,4.0
1026,0.0016235157812266,20.0,0.0,1.0,2.24887556221889,0.030607154781441,0.044074302885275,0.0370346572855436,0.0,2.24887556221889,14.992503748125936,5.997001499250374,2.998500749625187,2.0
7085,2.3487091619523428e-05,100.0,0.0,0.4,1.4072494669509596,0.0207881507046846,0.0299349370147459,0.0251536623526684,2.1321961620469088,1.4072494669509596,1.0660980810234544,2.665245202558636,2.025586353944563,2.25
2008,0.0303824175829325,50.0,0.0,1.0,0.5966587112171838,0.0198433308529311,0.0285743964282209,0.0240104303320467,0.0,0.5966587112171838,0.0,2.386634844868736,2.386634844868736,2.0
9411,0.0042595878016244,30.0,0.0,0.45,1.61849710982659,0.0116803412473837,0.0374541607656778,0.0158982422533834,0.92485549132948,1.61849710982659,1.063583815028902,2.023121387283237,1.4450867052023122,1.3333333333333333
7586,0.0003317693258135,1000.0,10.0,0.4,0.9082652134423252,0.0368151012910554,0.0370288314737239,0.0329015248750335,1.1807447774750226,0.9082652134423252,1.1807447774750226,4.677565849227975,4.405086285195277,2.0
5744,0.00388317505159,1000.0,0.0,0.38,0.8088235294117646,0.0149973899640144,0.0179971778202463,0.0181468418564574,1.102941176470588,0.8088235294117646,0.0,2.941176470588235,2.941176470588235,1.5
